time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.5471,1.8050,-1.3913,2.344
0.013000,-0.0598,1.4804,-0.7509,1.661
0.019000,-0.2219,0.9596,-0.1331,0.994
0.030000,0.2891,-0.0789,-0.5098,0.591
0.040000,-0.3213,-0.1212,-0.3870,0.517
0.051000,-0.4102,0.3457,-1.0046,1.139
0.057000,0.1839,0.6015,-1.6002,1.719
0.074000,0.3067,0.9047,-2.1234,2.328
0.079000,0.1556,1.1981,-2.4095,2.695
0.091000,-0.0327,1.0014,-2.4941,2.688
0.098000,0.0543,0.6552,-2.6740,2.754
0.110000,-0.2418,-0.3590,-3.2341,3.263
0.119000,-0.2137,0.3422,-3.0375,3.064
0.131000,-0.5021,0.2227,-2.5206,2.580
0.137000,-0.5549,-0.2268,-2.6964,2.762
0.152000,-0.5838,-0.3792,-2.8547,2.938
0.153000,-0.5838,-0.3792,-2.8547,2.938
0.158000,-0.4301,-0.4336,-2.8112,2.877
0.170000,-0.5547,-0.4169,-2.1584,2.267
0.179000,-0.6730,-0.1757,-1.3733,1.539
0.190000,-0.8021,-0.4908,-1.9512,2.166
0.201000,-0.7614,-0.7923,-2.2052,2.464
0.207000,-0.3434,0.4022,-1.6387,1.722
0.230000,-0.4502,0.5311,-1.6786,1.817
0.231000,-0.4502,0.5311,-1.6786,1.817
0.232000,-0.8870,-0.1693,-2.3417,2.510
0.240000,-1.2136,-0.4748,-2.2569,2.606
0.249000,-0.7466,-0.0671,-2.2968,2.416
0.259000,-0.1127,-0.2492,-2.0384,2.057
0.272000,0.0840,-0.5244,-1.9862,2.056
0.277000,-0.3008,-0.6176,-1.5008,1.651
0.293000,-0.3409,-0.6924,-1.6913,1.859
0.295000,-0.3409,-0.6924,-1.6913,1.859
0.298000,-0.0403,-0.5446,-2.4101,2.471
0.310000,-0.1624,-0.5800,-3.6264,3.676
0.319000,0.4989,-0.3872,-5.2431,5.281
0.330000,0.5539,-0.2355,-5.5340,5.567
0.342000,0.1870,-0.8826,-5.3195,5.395
0.347000,0.4166,-1.7365,-5.3482,5.638
0.362000,-0.1159,-2.7346,-4.0235,4.866
0.369000,-0.0500,-3.2575,-3.0855,4.487
0.380000,0.5983,-3.3371,-2.5673,4.253
0.389000,1.6347,-2.8880,-1.6943,3.726
0.400000,1.7821,-2.3485,-2.3134,3.747
0.414000,1.7140,-2.5678,-0.4644,3.122
0.417000,0.9292,-2.6086,-0.2500,2.780
0.433000,-0.6314,-2.9843,0.1144,3.053
0.434000,-0.6314,-2.9843,0.1144,3.053
0.439000,-1.4803,-3.4472,-1.2936,3.968
0.451000,-2.3137,-3.6908,-2.3092,4.930
0.459000,-3.7174,-3.7574,-3.3498,6.258
0.474000,-3.6178,-3.4660,-3.4670,6.093
0.477000,-3.8748,-3.1651,-2.6758,5.674
0.492000,-3.8573,-2.2559,-0.9563,4.570
0.499000,-3.0108,-1.3642,0.7065,3.380
0.510000,-2.4083,-0.4446,2.0226,3.176
0.520000,-2.0079,0.4487,2.6452,3.351
0.533000,-1.8375,1.4553,2.5295,3.449
0.540000,-1.4899,2.8141,2.5274,4.065
0.552000,-0.6488,4.6693,2.9867,5.581
0.558000,-0.3020,5.1704,2.7518,5.865
0.572000,0.5458,7.4712,4.9098,8.957
0.579000,1.6435,10.0384,5.6867,11.654
0.592000,2.6103,11.6970,6.3956,13.584
0.599000,3.9112,13.7112,7.6662,16.188
0.610000,5.3048,14.9187,8.1305,17.799
0.619000,5.9905,15.4393,7.9722,18.380
0.632000,6.8697,15.8249,8.0532,19.039
0.640000,7.7366,15.5892,8.9089,19.551
0.650000,9.1025,15.0740,11.4967,21.030
0.659000,10.8010,14.7387,12.5688,22.178
0.671000,12.1562,14.4270,12.8968,22.853
0.680000,12.8022,13.5643,13.1801,22.839
0.691000,12.9136,11.9684,12.5290,21.610
0.702000,12.9276,9.8061,11.3031,19.775
0.715000,12.7792,7.9099,9.9911,18.047
0.723000,13.2249,5.6317,9.0432,16.982
0.724000,13.2249,5.6317,9.0432,16.982
0.729000,13.8118,3.6546,8.2154,16.481
0.741000,14.5296,2.0203,7.1247,16.308
0.750000,14.6288,0.2642,5.6932,15.700
0.762000,14.2967,-2.1037,4.3631,15.095
0.768000,12.7076,-3.8559,2.6823,13.548
0.782000,10.8639,-5.8194,1.7281,12.445
0.790000,8.8429,-7.9520,0.8708,11.924
0.800000,5.7891,-9.8534,-0.3320,11.433
0.812000,1.8279,-10.9975,-1.9292,11.314
0.820000,-2.4259,-11.6174,-3.2175,12.296
0.829000,-5.3781,-11.7773,-3.2627,13.352
0.843000,-7.0870,-11.3647,-1.9030,13.528
0.848000,-8.0184,-11.6224,-0.5554,14.131
0.862000,-8.7945,-11.3618,-0.2235,14.370
0.870000,-9.6329,-11.6750,-0.5604,15.146
0.881000,-10.1354,-11.6608,-0.9584,15.480
0.891000,-10.0666,-11.1616,-1.6316,15.119
0.900000,-9.1996,-10.1891,-2.3708,13.931
0.912000,-8.1761,-8.5866,-2.8417,12.192
0.917000,-7.3208,-7.6837,-3.4048,11.146
0.933000,-5.9908,-6.3339,-3.6292,9.443
0.935000,-5.9908,-6.3339,-3.6292,9.443
0.939000,-5.7871,-6.0537,-3.4958,9.075
0.951000,-4.0968,-5.4177,-3.2032,7.510
0.961000,-3.2606,-5.3049,-2.3243,6.646
0.973000,-1.9082,-4.6694,-1.6577,5.310
0.978000,-0.3242,-4.3274,-1.9568,4.760
0.994000,1.8644,-3.3120,-2.4063,4.498
1.000000,3.5896,-2.8827,-3.4681,5.764
1.010000,5.6473,-3.4296,-5.0167,8.296
1.020000,8.2928,-3.1220,-5.5037,10.431
1.034000,12.0286,-1.7766,-5.3629,13.289
1.040000,18.2769,0.1902,-6.1076,19.271
1.052000,25.2044,2.5387,-6.8384,26.239
1.058000,31.3144,5.9145,-7.0539,32.639
1.073000,35.4556,9.7089,-6.1877,37.278
1.080000,35.6949,14.8566,-3.3609,38.809
1.091000,35.8591,18.9248,0.3365,40.548
1.099000,33.2344,17.7230,3.5525,37.832
1.111000,24.0277,13.7913,6.8940,28.549
1.122000,14.9664,10.9072,9.6083,20.863
1.136000,2.5326,10.4915,12.1847,16.277
1.144000,-1.3311,11.4695,12.6735,17.145
1.150000,-3.7433,12.6886,12.1047,17.931
1.160000,-4.2430,14.1969,11.0861,18.506
1.171000,-4.2953,15.8808,10.9402,19.757
1.180000,-4.4490,17.5193,10.1482,20.729
1.190000,-5.0122,18.0859,8.5320,20.616
1.202000,-5.3882,18.3199,6.8311,20.281
1.208000,-5.6372,18.2433,5.7681,19.947
1.223000,-6.0840,16.3249,5.8541,18.379
1.225000,-6.0840,16.3249,5.8541,18.379
1.236000,-6.2963,13.8842,6.8990,16.734
1.243000,-6.0497,11.3480,8.4792,15.404
1.250000,-5.1720,9.6049,10.8279,15.370
1.262000,-3.8935,8.7372,12.3531,15.624
1.268000,-1.9502,7.3394,16.8669,18.498
1.282000,1.1771,9.6085,11.7817,15.248
1.290000,6.8106,12.6638,11.2279,18.243
1.300000,10.2396,14.9423,12.4323,21.970
1.312000,13.1761,16.5446,9.9373,23.368
1.320000,13.5180,14.9745,8.7504,21.990
1.333000,12.4094,13.3874,8.5854,20.172
1.345000,12.5136,11.2241,8.0921,18.656
1.349000,14.5535,10.4196,7.0243,19.228
1.363000,17.8514,11.3897,6.8624,22.260
1.365000,17.8514,11.3897,6.8624,22.260
1.370000,24.1718,12.5036,8.5409,28.523
1.381000,30.2967,12.8131,8.8023,34.052
1.390000,34.1470,12.1670,6.9211,36.905
1.400000,34.1267,3.8678,6.4283,34.942
1.413000,34.0185,-1.6368,5.9463,34.573
1.418000,31.2173,-5.6447,4.0166,31.977
1.434000,23.9467,-8.3696,2.4376,25.484
1.435000,23.9467,-8.3696,2.4376,25.484
1.440000,16.9078,-10.5614,2.4697,20.088
1.451000,10.5719,-12.1357,3.4282,16.456
1.459000,5.9925,-12.7039,5.0645,14.931
1.474000,2.7455,-12.5690,6.4083,14.373
1.481000,-0.6052,-13.0752,6.4855,14.608
1.493000,-4.2309,-13.5067,5.5291,15.195
1.500000,-7.3029,-14.1437,4.3049,16.490
1.511000,-9.8280,-14.9960,2.7931,18.146
1.522000,-12.5323,-15.8863,0.4649,20.240
1.529000,-13.9381,-16.2098,-2.8413,21.566
1.551000,-13.8658,-15.3766,-6.7040,21.763
1.554000,-12.6448,-14.0502,-9.2562,21.047
1.563000,-11.0923,-12.1404,-9.6347,19.059
1.570000,-9.1602,-10.9440,-7.6539,16.195
1.580000,-7.4987,-9.9451,-4.7720,13.338
1.591000,-6.6673,-9.4394,-2.2476,11.773
1.600000,-7.0782,-9.2136,-0.8938,11.653
1.612000,-6.9724,-8.4544,0.0137,10.959
1.623000,-5.5303,-7.7697,0.5053,9.550
1.629000,-4.1136,-7.3382,0.1386,8.414
1.643000,-1.3060,-6.2129,-0.3044,6.356
1.653000,1.6359,-4.9859,-1.3345,5.414
1.660000,4.0513,-3.5524,-1.5306,5.601
1.672000,8.8231,-2.0640,-2.1599,9.315
1.681000,12.0016,-1.7080,-3.8433,12.717
1.691000,17.0452,-1.0385,-7.0056,18.458
1.703000,25.3417,1.1925,-8.0077,26.603
1.708000,34.1763,7.0343,-7.7683,35.747
1.724000,38.1961,13.3955,-7.1189,41.098
1.725000,38.1961,13.3955,-7.1189,41.098
1.732000,38.5630,16.3665,-4.8713,42.175
1.741000,38.8997,14.0455,0.1656,41.358
1.750000,35.9421,11.7479,7.6571,38.581
1.763000,29.7681,10.7574,13.2892,34.329
1.768000,22.7722,11.1021,16.3921,30.175
1.783000,17.4661,11.6018,17.4564,27.284
1.790000,13.1412,12.1682,16.3574,24.255
1.801000,8.8407,12.2693,14.6480,21.054
1.816000,4.3020,11.2756,13.4921,18.102
1.821000,0.1819,9.8364,12.4528,15.870
1.831000,-3.1605,8.8485,11.8333,15.110
1.843000,-5.0298,8.4341,11.7570,15.319
1.853000,-5.3849,8.3944,11.3936,15.142
1.869000,-5.2174,7.6305,11.7649,14.962
1.870000,-5.2174,7.6305,11.7649,14.962
1.871000,-4.9698,6.5417,13.4645,15.773
1.882000,-4.6167,5.6180,14.7866,16.478
1.891000,-3.4940,5.5195,14.9468,16.312
1.901000,-1.9932,5.9728,14.2462,15.576
1.914000,-0.6873,6.4868,13.1170,14.649
1.918000,0.5864,7.7137,12.3640,14.585
1.934000,1.1450,8.0694,12.4877,14.912
1.935000,1.1450,8.0694,12.4877,14.912
1.940000,2.6418,8.8015,13.3971,16.246
1.952000,6.4988,9.3939,15.1007,18.934
1.961000,8.2418,8.8703,17.0405,20.904
1.971000,10.9152,9.2467,18.9384,23.734
1.983000,15.2365,11.3116,20.5178,27.948
1.988000,20.8677,14.1320,18.7365,31.404
2.005000,27.7899,18.1844,15.3278,36.577
2.006000,27.7899,18.1844,15.3278,36.577
2.010000,33.4054,20.8050,12.7669,41.373
2.022000,36.3205,20.6197,10.3105,43.019
2.041000,38.7406,18.4926,8.1320,43.691
2.050000,38.8175,15.3436,6.4524,42.236
2.052000,38.8175,7.9073,5.1835,39.952
2.063000,33.9530,1.8701,3.3109,34.165
2.071000,28.8581,-2.3522,-2.6943,29.079
2.082000,23.6726,-3.3987,-6.1312,24.689
2.092000,18.2981,-4.2190,-4.6820,19.353
2.101000,13.4162,-6.0418,-1.3859,14.779
2.112000,8.5718,-7.6762,1.5107,11.605
2.123000,3.8651,-8.8999,3.1853,10.212
2.129000,-0.0558,-10.4335,3.5945,11.036
2.143000,-3.9859,-11.2924,3.4202,12.454
2.151000,-7.3411,-12.7349,2.2463,14.870
2.161000,-10.1887,-14.6449,0.0468,17.841
2.172000,-12.1162,-15.9390,-3.1834,20.273
2.181000,-12.2165,-15.6230,-6.2715,20.800
2.192000,-10.5018,-14.5064,-7.3458,19.357
2.204000,-8.4347,-12.9366,-6.0012,16.569
2.211000,-6.4257,-11.9096,-3.4874,13.975
2.221000,-4.6046,-11.4426,0.2238,12.336
2.237000,-4.6943,-11.0985,0.9445,12.087
2.244000,-3.4478,-10.5166,1.0741,11.119
2.251000,-1.6065,-8.1113,-1.2408,8.361
2.264000,2.6114,-8.3713,-1.8728,8.967
2.269000,4.9740,-6.4158,-0.5942,8.140
2.283000,8.6443,-5.2291,-0.1506,10.104
2.292000,12.1620,-4.1098,0.3985,12.844
2.301000,16.5543,-1.5001,1.7267,16.712
2.312000,20.9641,1.3413,0.5758,21.015
2.321000,26.6441,2.7999,-2.3221,26.891
2.336000,30.8189,3.8856,-4.3000,31.359
2.343000,37.2926,7.8938,-4.3613,38.368
2.357000,41.2258,13.8234,-3.4247,43.616
2.361000,41.5888,17.1218,-1.5295,45.001
2.371000,41.8860,16.1075,3.2533,44.994
2.382000,38.2807,14.1023,8.6760,41.708
2.391000,30.4575,12.6348,12.2629,35.181
2.401000,21.7145,11.5038,14.6855,28.627
2.416000,16.1265,10.0459,15.6898,24.641
2.419000,11.9184,9.0387,14.9461,21.145
2.434000,7.4287,8.1168,13.1191,17.122
2.436000,7.4287,8.1168,13.1191,17.122
2.441000,3.5701,7.2606,10.2290,13.042
2.452000,0.3924,6.6399,8.5274,10.815
2.461000,-1.9664,6.5055,7.1718,9.880
2.471000,-2.8974,6.9734,7.1376,10.391
2.484000,-2.6618,7.3043,7.9393,11.112
2.489000,-1.7382,8.9601,10.3602,13.807
2.505000,-0.9253,9.2057,10.7039,14.148
2.507000,-0.9253,9.2057,10.7039,14.148
2.510000,-0.3989,9.6861,10.6891,14.430
2.522000,-0.0386,9.6252,10.6286,14.339
2.530000,0.3839,9.2551,10.1700,13.756
2.545000,0.8381,8.5419,10.0341,13.204
2.549000,2.1063,8.4215,9.9659,13.217
2.564000,3.8248,7.9560,10.6337,13.820
2.572000,6.1187,7.6950,11.9495,15.474
2.582000,9.1271,8.6628,13.3486,18.345
2.593000,13.2430,10.6507,15.0466,22.698
2.603000,18.0618,13.2562,16.1222,27.602
2.612000,23.4121,15.5928,15.7479,32.238
2.624000,29.7844,17.8138,14.4255,37.584
2.629000,34.6542,18.6949,12.1941,41.220
2.644000,38.8004,18.0800,10.3789,44.046
2.659000,40.0048,16.2982,7.8341,43.902
2.661000,39.9160,13.7975,4.3444,42.456
2.672000,39.7914,7.9150,2.7551,40.664
2.684000,38.7374,2.1013,0.9277,38.805
2.694000,33.5667,-1.8303,-3.4151,33.790
2.700000,28.2803,-4.4400,-4.3920,28.962
2.714000,21.9368,-6.6734,-0.8948,22.947
2.722000,16.0150,-9.4147,3.1728,18.846
2.738000,10.2716,-11.2242,6.3184,16.475
2.743000,4.6335,-12.0423,7.0165,14.687
2.756000,-0.0319,-12.6712,6.9035,14.430
2.764000,-4.0375,-13.1951,6.4549,15.234
2.770000,-10.9280,-16.1448,2.3609,19.638
2.784000,-13.4638,-17.0796,-1.2905,21.786
2.793000,-13.5529,-17.1134,-4.1205,22.216
2.802000,-11.5664,-15.7591,-4.9774,20.172
2.813000,-8.8897,-13.9184,-3.8883,16.967
2.822000,-6.3884,-12.6591,-2.2509,14.357
2.831000,-4.9788,-11.9516,-0.9079,12.979
2.847000,-4.1979,-11.3270,0.6240,12.096
2.852000,-3.6564,-10.4517,1.8753,11.230
2.865000,-0.9154,-8.9240,2.0366,9.199
2.868000,-0.9154,-8.9240,2.0366,9.199
2.871000,3.0279,-7.0905,1.4534,7.846
2.883000,6.9102,-4.4360,0.2840,8.216
2.892000,10.3071,-2.7097,-0.7363,10.683
2.902000,13.5607,-1.8422,-0.4021,13.691
2.914000,17.0629,-1.4335,-0.0171,17.123
2.923000,20.8435,-0.7651,0.3633,20.861
2.932000,27.6923,-0.2310,-0.6649,27.701
2.942000,33.6925,1.7509,-0.9374,33.751
2.957000,41.0933,7.8141,-0.5185,41.833
2.963000,41.3579,14.1029,0.6833,43.702
2.972000,41.5891,16.2011,2.1705,44.686
2.985000,41.9135,12.8924,5.6580,44.215
2.989000,37.2831,10.8430,9.6276,40.004
3.005000,29.4114,9.1503,13.0142,33.438
3.007000,29.4114,9.1503,13.0142,33.438
3.011000,20.6609,8.3881,14.6639,26.688
3.023000,13.9372,7.1946,14.2512,21.192
3.032000,8.5314,6.5917,12.9369,16.840
3.045000,0.5872,6.7634,10.1409,12.204
3.061000,-1.0016,7.3786,9.8615,12.357
3.062000,-1.3075,8.2723,8.7045,12.079
3.074000,-2.1054,8.8923,7.2372,11.657
3.082000,-3.0213,9.3971,6.5492,11.846
3.093000,-3.3522,9.8294,7.2441,12.662
3.102000,-3.2008,10.0159,8.3970,13.456
3.113000,-3.1360,9.7804,9.5367,14.016
3.124000,-3.2244,9.2334,10.6078,14.428
3.130000,-3.0644,9.1372,11.3743,14.908
3.145000,-1.8847,8.4567,11.8023,14.641
3.157000,0.6193,8.6666,12.5558,15.269
3.162000,3.2223,9.3248,13.0063,16.325
3.177000,2.9572,8.9445,12.8894,15.965
3.179000,5.0593,9.5431,13.5358,17.317
3.181000,6.3570,9.2510,14.6515,18.457
3.194000,7.2922,8.3797,15.8749,19.375
3.200000,9.7056,8.1833,16.7607,21.026
3.214000,14.5696,9.5556,18.4053,25.344
3.223000,21.3885,11.6377,19.7935,31.380
3.244000,29.0481,13.4452,19.7962,37.636
3.246000,35.3246,14.2452,17.7737,42.032
3.254000,37.3089,13.5627,15.5971,42.652
3.264000,38.6192,12.5260,11.6613,42.241
3.270000,40.6638,10.4335,7.3661,42.622
3.285000,39.4712,5.9854,5.9760,40.367
3.292000,34.9763,2.1378,4.2917,35.303
3.304000,30.6150,-0.4015,-0.1930,30.618
3.311000,30.4473,-0.2620,-0.1646,30.449
3.323000,19.7940,-5.2972,5.6655,21.259
3.332000,13.5784,-7.7882,7.3119,17.277
3.344000,7.5264,-9.5138,7.1458,14.079
3.360000,2.1706,-10.9766,5.7501,12.580
3.365000,-2.5634,-10.9855,4.0954,12.001
3.369000,-2.5634,-10.9855,4.0954,12.001
3.372000,-5.9902,-11.5072,2.1749,13.154
3.388000,-8.0361,-11.4461,-0.7220,14.004
3.392000,-9.3384,-11.2096,-4.0463,15.140
3.404000,-9.3218,-10.7932,-7.1050,15.933
3.415000,-8.3981,-9.6533,-8.3963,15.304
3.420000,-6.8322,-8.6765,-6.9406,13.044
3.446000,-5.0774,-8.1478,-4.7896,10.729
3.448000,-5.0774,-8.1478,-4.7896,10.729
3.449000,-4.5572,-8.6344,-2.7498,10.143
3.460000,-3.6223,-9.6783,-0.7491,10.361
3.462000,-2.2547,-10.7788,1.4876,11.112
3.475000,0.6930,-11.1634,3.1579,11.622
3.480000,4.0274,-10.8499,4.0254,12.253
3.495000,8.5196,-8.9047,3.2268,12.739
3.503000,13.1242,-7.0760,2.6393,15.142
3.513000,16.6920,-5.0387,2.0798,17.560
3.523000,20.6180,-2.9233,0.6184,20.833
3.534000,25.4023,-1.3152,-1.9171,25.509
3.542000,30.9908,-1.3879,-4.3672,31.328
3.562000,31.7679,-1.7956,-4.5650,32.144
3.564000,43.9161,5.3152,-3.7175,44.392
3.577000,44.5145,12.6811,0.3512,46.287
3.578000,44.5145,12.6811,0.3512,46.287
3.581000,44.7203,10.8299,3.8966,46.178
3.593000,44.8749,12.1416,7.2503,47.050
3.602000,37.6476,14.6304,10.0250,41.616
3.613000,28.3860,14.2933,11.0690,33.654
3.625000,19.9373,11.7894,10.7759,25.546
3.630000,12.7739,10.6210,11.0057,19.927
3.646000,8.0512,10.3339,11.5619,17.473
3.648000,8.0512,10.3339,11.5619,17.473
3.652000,4.5347,10.7817,10.9306,16.009
3.663000,3.3059,11.1373,9.2469,14.848
3.673000,2.4851,11.7693,5.1075,13.068
3.682000,2.0730,12.6595,2.8332,13.137
3.695000,2.8437,12.7424,2.3836,13.272
3.700000,3.7696,13.0643,3.1297,13.953
3.716000,4.6323,11.9242,4.8421,13.678
3.718000,4.6323,11.9242,4.8421,13.678
3.727000,4.8159,11.2503,6.6735,13.939
3.732000,4.6863,10.3965,8.5886,14.276
3.753000,4.4227,9.3646,10.8433,14.994
3.754000,4.1246,8.9860,12.8322,16.200
3.765000,4.8097,8.8918,13.3657,16.758
3.772000,6.6485,9.7968,13.5286,17.978
3.787000,9.5120,10.6391,13.5434,19.675
3.794000,12.9459,11.8321,13.2849,22.002
3.805000,15.7422,12.3270,12.6481,23.659
3.812000,17.4938,11.9535,12.8639,24.787
3.823000,18.8960,10.9265,13.7182,25.781
3.832000,20.8344,9.4423,14.4346,27.048
3.845000,24.0477,8.7781,15.8433,30.106
3.857000,28.8121,7.8731,16.4850,34.116
3.867000,32.3338,6.7375,10.5099,34.660
3.869000,32.3338,6.7375,10.5099,34.660
3.872000,35.3115,6.0051,6.1368,36.340
3.884000,36.4834,2.4441,5.2122,36.935
3.893000,35.7748,-1.3866,4.1042,36.036
3.904000,36.7632,-1.8730,1.3836,36.837
3.915000,37.2897,0.8483,1.3011,37.322
3.921000,35.2116,1.8108,4.2173,35.509
3.936000,29.6938,0.1443,6.4186,30.380
3.938000,29.6938,0.1443,6.4186,30.380
3.942000,21.9262,-3.0441,6.7003,23.128
3.958000,14.7365,-6.0201,6.1348,17.060
3.962000,8.6133,-7.5639,5.5101,12.719
3.975000,3.7311,-8.6550,3.4389,10.033
3.985000,-0.2645,-9.0515,0.6596,9.079
3.990000,-2.9001,-9.6071,-2.7032,10.393
4.006000,-4.3740,-8.4998,-6.0814,11.330
4.008000,-4.3740,-8.4998,-6.0814,11.330
4.012000,-4.7336,-8.1998,-8.2220,12.540
4.024000,-4.4342,-7.9407,-7.4252,11.741
4.033000,-3.7848,-7.8817,-4.8674,10.007
4.047000,-3.5868,-8.3166,-2.6605,9.440
4.070000,-3.6284,-8.9251,-0.7793,9.666
4.071000,-3.3289,-9.7075,0.4463,10.272
4.076000,-1.2979,-10.2801,1.3279,10.446
4.082000,1.3571,-9.9107,1.9978,10.201
4.094000,4.0283,-8.9019,2.0529,9.984
4.104000,6.7505,-7.6901,1.5783,10.354
4.113000,8.7431,-7.0491,0.7103,11.253
4.126000,11.9166,-6.5316,0.6726,13.606
4.130000,14.9812,-4.5348,0.8354,15.675
4.148000,28.6223,0.4008,-5.1361,29.082
4.149000,28.6223,0.4008,-5.1361,29.082
4.152000,34.9761,3.8046,-5.9394,35.680
4.167000,44.4703,9.6899,-5.0557,45.794
4.174000,44.8243,16.0953,-3.0506,47.724
4.187000,45.3263,16.2014,-0.1648,48.135
4.192000,45.3263,14.7553,3.6803,47.809
4.205000,43.9665,14.2864,8.4743,47.000
4.213000,33.6887,14.1904,12.6187,38.672
4.223000,24.5886,12.5307,14.3451,31.103
4.233000,18.2864,10.6333,13.3517,25.015
4.244000,12.7635,9.7408,10.5473,19.210
4.253000,8.1524,9.2542,6.6063,13.991
4.267000,4.8178,9.1285,4.0220,11.078
4.273000,3.6802,10.0074,3.4354,11.202
4.285000,3.9978,10.6527,4.6010,12.273
4.293000,3.2507,11.1860,5.2226,12.766
4.306000,1.4964,10.7649,4.8175,11.888
4.312000,0.4789,10.5780,5.0434,11.729
4.324000,0.3487,10.3523,6.5789,12.271
4.333000,0.0617,10.3908,8.2363,13.259
4.345000,0.1704,10.0308,9.2890,13.672
4.353000,1.0356,9.9075,9.9400,14.073
4.365000,3.1137,9.7996,10.6206,14.783
4.376000,9.2078,11.1602,11.2269,18.313
4.382000,9.1099,11.0560,11.2678,18.226
4.394000,11.1652,11.4257,12.9561,20.569
4.403000,12.2180,10.6322,14.7881,21.932
4.415000,16.5206,10.4232,17.7565,26.398
4.430000,21.7113,12.5875,18.3742,31.104
4.439000,28.5704,15.6305,18.0773,37.247
4.440000,28.5704,15.6305,18.0773,37.247
4.452000,35.1517,17.8770,16.2591,42.657
4.455000,40.0450,18.8895,13.7820,46.372
4.463000,44.8827,19.9994,10.0817,50.160
4.475000,44.7661,19.8629,7.4449,49.537
4.481000,44.7661,13.1256,5.1369,46.933
4.495000,44.4989,5.7104,3.2971,44.985
4.503000,39.3498,1.9560,-2.6895,39.490
4.513000,36.0302,0.4929,-5.5733,36.462
4.527000,30.1931,-1.0074,-1.2571,30.236
4.533000,23.3524,-4.4518,4.0459,24.115
4.556000,16.4054,-7.2658,8.5326,19.868
4.558000,10.9967,-9.2620,10.7468,17.950
4.566000,5.8187,-9.5902,9.4152,14.645
4.575000,1.3113,-10.3914,5.6601,11.905
4.583000,-2.8326,-11.4571,1.6565,11.918
4.594000,-6.4002,-12.7754,-2.5479,14.514
4.603000,-8.7629,-13.6473,-5.2321,17.041
4.614000,-9.2756,-13.7700,-5.7898,17.583
4.628000,-7.4329,-13.2414,-4.8253,15.933
4.631000,-5.1491,-12.3571,-2.9284,13.704
4.652000,-2.9518,-11.1728,-1.6805,11.678
4.654000,-2.9518,-11.1728,-1.6805,11.678
4.655000,-1.8687,-10.9701,-0.4914,11.139
4.664000,-1.0488,-10.4911,-0.0585,10.544
4.673000,0.8615,-10.4210,-0.3460,10.462
4.687000,7.2260,-9.0754,0.1360,11.602
4.691000,9.6774,-7.6344,0.1797,12.328
4.708000,11.5068,-6.8448,-0.2004,13.390
4.714000,13.3401,-6.4971,-0.0792,14.838
4.724000,16.6252,-5.7512,0.3171,17.595
4.734000,21.8668,-2.8570,-0.7512,22.065
4.742000,31.9895,2.7490,-4.7454,32.456
4.768000,41.9383,8.0717,-8.8830,43.622
4.770000,44.9454,15.0388,-12.2157,48.944
4.790000,45.5857,21.2114,-12.0489,51.703
4.792000,45.8047,23.2199,-7.9749,51.970
4.793000,45.9607,17.8553,-3.2751,49.416
4.804000,45.5158,13.8254,2.0876,47.615
4.813000,36.5110,13.6233,8.7244,39.934
4.829000,27.8024,13.5049,12.3501,33.285
4.836000,21.6741,11.8653,13.0206,27.930
4.866000,16.8967,10.9297,11.9322,23.395
4.868000,12.9330,10.6737,11.3136,20.228
4.870000,9.5437,10.3788,9.6319,17.076
4.876000,6.0335,10.1812,8.7611,14.725
4.884000,3.7308,10.4877,8.4436,13.972
4.894000,3.4828,11.9551,8.2196,14.920
4.904000,1.5739,11.7336,3.1637,12.254
4.916000,-0.0805,12.0903,1.2614,12.156
4.921000,0.8584,12.7795,1.6933,12.920
4.937000,2.1642,12.9203,3.1622,13.477
4.939000,2.1642,12.9203,3.1622,13.477
4.943000,3.2431,12.9481,5.9909,14.631
4.955000,3.7813,12.5402,8.2414,15.475
4.964000,6.3787,11.6245,11.9046,17.820
4.978000,8.2180,11.1471,13.4582,19.311
4.982000,10.7940,11.2941,13.8753,20.895
4.996000,12.4652,11.7888,13.5065,21.835
5.003000,14.2119,12.0870,12.0033,22.185
5.014000,17.4876,13.2160,11.3797,24.698
5.030000,21.8684,15.7701,11.3098,29.238
5.034000,27.5999,17.7958,12.3602,35.089
5.057000,32.5986,19.7483,13.8851,40.564
5.058000,36.1595,19.6146,14.5607,43.638
5.062000,36.8921,16.9379,13.8521,42.893
5.077000,36.5720,17.7570,13.9990,42.998
5.079000,40.2208,15.3150,11.3079,44.499
5.083000,41.7655,13.5590,9.9143,45.017
5.095000,40.6987,7.4523,9.4456,42.440
